uni_lemma,freq
somebody,6.527957918
face,6.52649486
sometimes,6.522092798
inside,6.520621128
silly,6.519147288
feel,6.516193076
ooh,6.516193076
fell,6.510258341
i'd,6.508769137
half,6.507277712
matter,6.50578406
mine,6.50578406
sorry,6.502790046
wear,6.502790046
every,6.501289671
lots,6.501289671
break,6.499787041
couldn't,6.499787041
cow,6.49677499
supposed,6.492239835
six,6.487684018
gave,6.484635236
tired,6.483107351
stand,6.478509642
trying,6.476972363
bye,6.473890696
ahead,6.472346295
sing,6.472346295
kids,6.466144724
already,6.461468176
sort,6.458338283
used,6.456769656
idea,6.453624999
putting,6.450470422
whole,6.448889394
minutes,6.445719819
money,6.442540166
eve,6.440946541
white,6.440946541
draw,6.436150368
happy,6.432940093
may,6.429719478
year,6.429719478
run,6.426488457
eyes,6.418364936
food,6.418364936
wash,6.418364936
duck,6.411818268
orange,6.411818268
wow,6.411818268
boys,6.410174882
doggie,6.405228458
fit,6.398594935
we've,6.396929655
yellow,6.393590754
both,6.390240667
it'll,6.386879319
shem,6.381816017
chicken,6.380122537
hm,6.378426184
bunny,6.376726948
one's,6.37331979
end,6.368187186
pictures,6.366470448
you'd,6.366470448
dirty,6.364750757
goodness,6.361302478
almost,6.356107661
animals,6.356107661
he'll,6.343880434
light,6.343880434
books,6.340359304
fun,6.340359304
crying,6.327936784
yep,6.327936784
coffee,6.326149473
touch,6.326149473
daddy's,6.308098442
foot,6.304448802
what'd,6.304448802
hungry,6.302618976
blow,6.300785795
party,6.300785795
live,6.289715571
mind,6.289715571
clean,6.28785856
noise,6.285998095
feet,6.282266747
hole,6.280395839
fire,6.278521424
ten,6.276643489
happens,6.274762021
soon,6.274762021
found,6.272877007
toy,6.261491684
anyway,6.259581464
shirt,6.259581464
bear,6.257667588
blocks,6.257667588
makes,6.257667588
cream,6.253828812
window,6.249975242
paul,6.248042875
seven,6.248042875
bet,6.244166901
own,6.240275845
whose,6.238324625
ice,6.232448017
michael,6.230481448
being,6.224558429
black,6.222576268
finger,6.22059017
quite,6.216606101
bite,6.208590026
cheese,6.208590026
bus,6.206575927
tonight,6.202535517
friend,6.200509174
stick,6.200509174
broken,6.198478716
recorder,6.198478716
either,6.196444128
boat,6.194405391
fine,6.194405391
coat,6.182084907
front,6.182084907
page,6.182084907
taking,6.180016654
mommy's,6.177944114
kitchen,6.173786104
catch,6.167516491
wet,6.165417854
poor,6.161207322
build,6.156978986
pencil,6.156978986
clothes,6.152732695
teeth,6.152732695
tv,6.146329258
girls,6.144185634
breakfast,6.139884552
s,6.131226489
she'll,6.126869184
brought,6.120297419
nine,6.11146734
street,6.11146734
brown,6.109247583
bigger,6.107022888
eight,6.100318952
bobby,6.09356977
everybody,6.09356977
gotta,6.09356977
small,6.09356977
running,6.091309882
mouse,6.086774727
kitty,6.08221891
song,6.08221891
heard,6.077642243
apple,6.070737728
actually,6.06610809
fingers,6.06610809
butter,6.063785209
easy,6.061456919
twenty,6.059123196
bought,6.056784013
couple,6.056784013
microphone,6.056784013
brother,6.052089169
snow,6.042632834
brilliant,6.035481433
set,6.035481433
letter,6.033086222
rest,6.033086222
behind,6.025865974
fast,6.025865974
naughty,6.025865974
anymore,6.021023349
awful,6.018593214
broke,6.018593214
forgot,6.01615716
word,6.01615716
beautiful,6.013715156
once,6.011267174
few,6.008813185
june,6.008813185
looked,6.00635316
likes,6.003887067
pig,6.003887067
sleeping,6.003887067
wheels,6.003887067
lion,6.001414878
lost,5.996452089
mm,5.993961427
pants,5.993961427
cars,5.981414211
means,5.981414211
best,5.97126184
bread,5.96870756
nursery,5.96870756
cookie,5.966146739
far,5.958424693
choo,5.955837369
bottle,5.953243334
hasn't,5.948034989
wonder,5.948034989
airplane,5.945420609
bottom,5.945420609
count,5.945420609
rabbit,5.942799375
santa,5.942799375
spoon,5.942799375
ta,5.942799375
ears,5.940171253
monkey,5.940171253
bath,5.937536205
doctor,5.929589143
sister,5.929589143
egg,5.926926026
store,5.926926026
each,5.92157842
jump,5.92157842
elephant,5.918893854
happen,5.918893854
park,5.918893854
brush,5.916202063
pen,5.913503006
where'd,5.910796644
darling,5.905361848
pieces,5.905361848
slide,5.902633333
holding,5.891644212
days,5.888877958
working,5.888877958
kiss,5.880532986
started,5.880532986
chocolate,5.877735782
upstairs,5.877735782
stuck,5.872117789
mom,5.869296913
taste,5.869296913
pete,5.866468057
thanks,5.863631176
number,5.860786223
paint,5.860786223
wheel,5.860786223
ate,5.857933154
cookies,5.855071922
plate,5.85220248
friends,5.846438775
jack,5.846438775
shoe,5.843544417
able,5.840641657
mr,5.837730447
o'clock,5.831882477
thirty,5.831882477
bathroom,5.828945618
change,5.828945618
hope,5.828945618
dress,5.823045895
ran,5.82008293
ring,5.82008293
legs,5.81711116
tony,5.81711116
understand,5.814130532
phone,5.811140993
high,5.80814249
pardon,5.80814249
button,5.805134969
jason,5.802118375
special,5.799092654
doll,5.796057751
god,5.796057751
how's,5.793013608
t,5.789960171
dolly,5.786897381
summer,5.786897381
sick,5.783825182
tractor,5.780743516
alone,5.777652323
tie,5.777652323
marky,5.774551546
standing,5.774551546
forget,5.765191103
sugar,5.762051383
flowers,5.758901774
road,5.758901774
dad,5.755742214
meat,5.755742214
carl,5.752572639
puzzle,5.752572639
its,5.749392986
aw,5.746203191
matthew,5.746203191
eric,5.739792912
asked,5.736572297
teddy,5.736572297
times,5.736572297
warm,5.736572297
anybody,5.733341277
such,5.730099783
balloon,5.726847748
full,5.726847748
mad,5.726847748
sound,5.723585102
fly,5.720311777
gosh,5.720311777
guy,5.720311777
guys,5.717027701
late,5.710427017
needs,5.710427017
usually,5.710427017
years,5.710427017
shut,5.707110265
welcome,5.707110265
zoo,5.707110265
air,5.703782475
bill,5.703782475
care,5.703782475
record,5.703782475
telling,5.703782475
words,5.700443573
roll,5.697093487
nap,5.693732139
telephone,5.693732139
cry,5.690359454
eye,5.690359454
sounds,5.690359454
farm,5.683579767
jenny,5.683579767
nope,5.683579767
weeks,5.683579767
b,5.676753802
drive,5.676753802
glass,5.676753802
somewhere,5.676753802
d,5.673323267
dry,5.666426688
early,5.666426688
hang,5.666426688
mess,5.666426688
since,5.666426688
bike,5.66296048
quiet,5.66296048
wipe,5.66296048
knock,5.655991811
lives,5.65248918
living,5.65248918
animal,5.648974238
sandwich,5.648974238
conor,5.645446898
beach,5.641907071
happening,5.641907071
string,5.641907071
straight,5.634789603
tail,5.634789603
person,5.631211782
friday,5.624017506
learn,5.624017506
babies,5.620400866
leg,5.620400866
quick,5.620400866
tiny,5.616771098
ursula,5.616771098
seat,5.613128106
works,5.613128106
miss,5.609471795
till,5.609471795
block,5.605802066
knows,5.605802066
excuse,5.602118821
knew,5.598421959
hum,5.59471138
machine,5.59471138
sun,5.59471138
ago,5.590986981
arm,5.590986981
dogs,5.590986981
frog,5.590986981
turned,5.590986981
baby's,5.583496309
e,5.583496309
saturday,5.583496309
letters,5.579729826
c,5.575949103
boom,5.572154032
lying,5.572154032
sunday,5.572154032
tall,5.572154032
they'll,5.572154032
pocket,5.564520407
graeme,5.560681631
heavy,5.560681631
mhm,5.552959585
swimming,5.552959585
wind,5.549076085
nobody,5.545177444
along,5.537334267
problem,5.529429088
thinking,5.529429088
clock,5.525452939
fraser,5.525452939
giving,5.525452939
television,5.525452939
believe,5.521460918
busy,5.521460918
candy,5.521460918
samantha,5.521460918
hurry,5.517452896
wood,5.517452896
m,5.513428746
supper,5.513428746
pretend,5.509388337
teacher,5.509388337
without,5.509388337
hour,5.505331536
socks,5.505331536
weren't,5.505331536
yup,5.505331536
apart,5.501258211
barbara,5.501258211
writing,5.501258211
bedroom,5.497168225
mummy's,5.497168225
closed,5.493061443
feed,5.493061443
games,5.493061443
that'll,5.493061443
turtle,5.493061443
walking,5.493061443
joey,5.488937726
whatever,5.488937726
instead,5.484796933
steven,5.480638923
suppose,5.480638923
circle,5.472270674
job,5.472270674
takes,5.472270674
balls,5.468060141
missed,5.468060141
mum,5.468060141
riding,5.468060141
waiting,5.468060141
wall,5.468060141
bowl,5.463831805
bye-bye,5.459585514
line,5.459585514
michelle,5.459585514
middle,5.459585514
soup,5.455321115
cover,5.451038454
karen,5.451038454
sylvia,5.451038454
hiding,5.446737372
someone,5.446737372
mike,5.442417711
most,5.442417711
myself,5.438079309
cook,5.433722004
carry,5.429345629
sleepy,5.429345629
stairs,5.429345629
terrible,5.429345629
father,5.424950017
they've,5.424950017
uncle,5.424950017
building,5.420534999
drop,5.420534999
mary,5.420534999
check,5.416100402
ear,5.416100402
eggs,5.416100402
p,5.416100402
course,5.411646052
dark,5.411646052
grass,5.411646052
jumping,5.411646052
pink,5.411646052
wearing,5.411646052
worry,5.411646052
class,5.407171771
toast,5.402677382
afternoon,5.398162702
played,5.398162702
engine,5.393627546
favorite,5.393627546
marie,5.393627546
peanut,5.393627546
caught,5.38907173
robin,5.38907173
present,5.384495063
derwood,5.379897354
easter,5.379897354
boots,5.375278408
colors,5.375278408
trouble,5.375278408
ann,5.370638028
cards,5.370638028
kathryn,5.370638028
board,5.365976015
indeed,5.365976015
rachel,5.365976015
reading,5.365976015
dance,5.361292166
colour,5.356586275
exactly,5.356586275
glad,5.356586275
loves,5.356586275
mama,5.356586275
men,5.356586275
TRUE,5.356586275
afraid,5.351858133
dolls,5.347107531
grow,5.342334252
garden,5.33753808
shouldn't,5.33753808
tongue,5.33753808
card,5.332718793
dropped,5.332718793
chairs,5.327876169
corner,5.327876169
gorgeous,5.327876169
grandma,5.327876169
steve,5.327876169
buttons,5.323009979
cowboy,5.323009979
fight,5.323009979
near,5.323009979
pulling,5.323009979
downstairs,5.318119994
monster,5.318119994
football,5.313205979
smell,5.308267697
watching,5.308267697
gabriella,5.303304908
h,5.298317367
kim,5.298317367
tower,5.298317367
upside,5.298317367
investigator,5.293304825
lift,5.293304825
she'd,5.293304825
spell,5.293304825
clever,5.288267031
turning,5.288267031
fixed,5.283203729
hah,5.283203729
whether,5.283203729
cats,5.278114659
driving,5.278114659
bang,5.272999559
basket,5.272999559
birds,5.272999559
dancing,5.272999559
strong,5.272999559
lucky,5.267858159
patsy,5.267858159
short,5.267858159
boo,5.262690189
hide,5.262690189
mrs,5.262690189
n,5.262690189
picked,5.262690189
wake,5.262690189
washing,5.262690189
also,5.257495372
scissors,5.257495372
sheep,5.257495372
snake,5.257495372
bugs,5.252273428
pop,5.252273428
cha,5.247024072
climb,5.247024072
cute,5.247024072
months,5.247024072
wish,5.247024072
claus,5.241747015
pot,5.241747015
ain't,5.236441963
toilet,5.236441963
pram,5.231108617
shopping,5.231108617
asleep,5.225746674
family,5.225746674
loud,5.225746674
past,5.225746674
clown,5.220355825
cows,5.220355825
he'd,5.220355825
ow,5.220355825
suit,5.220355825
woof,5.220355825
flower,5.214935758
mister,5.214935758
rain,5.214935758
square,5.214935758
kid,5.209486153
moving,5.209486153
sad,5.209486153
bridge,5.204006687
g,5.204006687
horses,5.204006687
interesting,5.204006687
trees,5.198497031
eleven,5.192956851
garbage,5.192956851
jacket,5.192956851
town,5.192956851
between,5.187385806
cereal,5.187385806
lois,5.187385806
nana,5.187385806
empty,5.18178355
monday,5.18178355
r,5.18178355
spill,5.18178355
glasses,5.176149733
granny,5.170483995
crayons,5.164785974
star,5.164785974
across,5.159055299
biscuits,5.159055299
garage,5.159055299
sore,5.159055299
lose,5.153291594
step,5.153291594
tummy,5.153291594
ach,5.147494477
knee,5.147494477
nearly,5.147494477
purple,5.147494477
sky,5.147494477
dead,5.141663557
ho,5.141663557
music,5.141663557
neat,5.141663557
patrick,5.141663557
pigs,5.141663557
rather,5.141663557
kneeling,5.135798437
pour,5.135798437
hers,5.129898715
hurts,5.129898715
singing,5.129898715
teach,5.129898715
drinking,5.123963979
hundred,5.123963979
sat,5.123963979
houses,5.117993812
moon,5.117993812
refrigerator,5.117993812
shop,5.117993812
yea,5.117993812
falling,5.111987788
favourite,5.111987788
horrible,5.111987788
potty,5.111987788
raining,5.111987788
scared,5.111987788
arms,5.105945474
chris,5.105945474
gerry,5.105945474
julia,5.105945474
miffy,5.105945474
tunnel,5.105945474
age,5.099866428
difference,5.099866428
mickey,5.099866428
mirror,5.099866428
won,5.099866428
pat,5.093750201
rice,5.093750201
roof,5.093750201
diaper,5.087596335
joe,5.087596335
papa,5.087596335
pie,5.087596335
smartie,5.087596335
easier,5.081404365
fat,5.081404365
fork,5.081404365
hospital,5.081404365
lisa,5.081404365
twelve,5.081404365
auntie,5.075173815
bubbles,5.075173815
cool,5.075173815
difficult,5.075173815
dinosaur,5.075173815
holes,5.075173815
keys,5.075173815
sake,5.075173815
sally,5.075173815
beans,5.068904202
body,5.068904202
comb,5.068904202
knocked,5.068904202
quack,5.068904202
screw,5.068904202
size,5.068904202
snack,5.068904202
w,5.068904202
gum,5.062595033
race,5.062595033
save,5.062595033
anthony,5.056245805
case,5.056245805
kent,5.056245805
thursday,5.056245805
rock,5.049856007
sink,5.049856007
woman,5.049856007
anywhere,5.043425117
ducks,5.043425117
kay,5.043425117
potato,5.043425117
john,5.036952602
moo,5.036952602
older,5.036952602
pulled,5.036952602
reach,5.036952602
voice,5.036952602
world,5.036952602
circus,5.030437921
da,5.030437921
stuart,5.030437921
umbrella,5.030437921
banana,5.023880521
ground,5.023880521
donkey,5.017279837
reason,5.017279837
sand,5.017279837
swim,5.017279837
tried,5.017279837
wednesday,5.017279837
everyone,5.010635294
point,5.010635294
potatoes,5.010635294
share,5.010635294
cups,5.003946306
dirt,5.003946306
dragon,5.003946306
pool,5.003946306
threw,5.003946306
names,4.997212274
pee,4.997212274
remi,4.997212274
space,4.997212274
aunt,4.990432587
cracker,4.990432587
drawing,4.990432587
bother,4.983606622
cos,4.983606622
fence,4.983606622
listening,4.983606622
mia,4.983606622
quarter,4.983606622
showed,4.983606622
smarties,4.983606622
stopped,4.983606622
underneath,4.983606622
young,4.983606622
cross,4.976733742
gun,4.976733742
huh,4.976733742
kick,4.976733742
kip,4.976733742
melissa,4.976733742
missing,4.976733742
radio,4.976733742
seesaw,4.976733742
smart,4.976733742
weekend,4.976733742
corn,4.9698133
forty,4.9698133
hate,4.9698133
shake,4.9698133
boy's,4.96284463
flying,4.96284463
ladder,4.96284463
spot,4.96284463
sweet,4.96284463
brett,4.955827058
debbie,4.955827058
dump,4.955827058
laughing,4.955827058
least,4.955827058
robert,4.955827058
couch,4.94875989
grey,4.94875989
painting,4.94875989
soft,4.94875989
blanket,4.941642423
bottles,4.941642423
christopher,4.941642423
dressed,4.941642423
hall,4.941642423
hee,4.941642423
knife,4.941642423
lamb,4.941642423
tom,4.941642423
carrot,4.934473933
himself,4.934473933
pound,4.934473933
barry,4.927253685
brodie,4.927253685
bug,4.927253685
movie,4.927253685
numbers,4.927253685
taken,4.927253685
towel,4.927253685
trip,4.927253685
unless,4.927253685
fifty,4.919980926
k,4.919980926
rug,4.919980926
bump,4.912654886
carrying,4.912654886
kept,4.912654886
lie,4.912654886
longer,4.912654886
pay,4.912654886
tuesday,4.912654886
y,4.912654886
backwards,4.905274778
eats,4.905274778
wonderful,4.905274778
cromer,4.8978398
danny,4.8978398
except,4.8978398
judy,4.8978398
kinds,4.8978398
liked,4.8978398
snowman,4.8978398
aah,4.890349128
heart,4.890349128
presents,4.890349128
simon,4.890349128
allright,4.882801923
bathtub,4.882801923
belong,4.882801923
beside,4.882801923
gas,4.882801923
honestly,4.882801923
tight,4.882801923
crayon,4.875197323
hoo,4.875197323
julie,4.875197323
quickly,4.875197323
todd,4.875197323
changed,4.86753445
chew,4.86753445
figure,4.86753445
nicola,4.86753445
puppet,4.86753445
stool,4.86753445
sweetie,4.86753445
we'd,4.86753445
allowed,4.859812404
crazy,4.859812404
hop,4.859812404
jennifer,4.859812404
lights,4.859812404
penny,4.859812404
shoot,4.859812404
thinks,4.859812404
visit,4.859812404
courtney,4.852030264
dishes,4.852030264
dream,4.852030264
james,4.852030264
key,4.852030264
magic,4.852030264
medicine,4.852030264
peter's,4.852030264
shape,4.852030264
yum,4.852030264
chips,4.844187086
church,4.844187086
hammer,4.844187086
la,4.844187086
napkin,4.844187086
richard,4.844187086
shh,4.844187086
spaghetti,4.844187086
giraffe,4.836281907
neck,4.836281907
son,4.836281907
speak,4.836281907
sweater,4.836281907
tickle,4.836281907
using,4.836281907
answer,4.828313737
balloons,4.828313737
chantilly,4.828313737
crackers,4.828313737
feeling,4.828313737
l,4.828313737
pocketbook,4.828313737
walked,4.828313737
barn,4.820281566
cindy,4.820281566
fifteen,4.820281566
good-bye,4.820281566
king,4.820281566
press,4.820281566
puppy,4.820281566
sh,4.820281566
sweetheart,4.820281566
win,4.820281566
zoe,4.820281566
beds,4.812184355
dough,4.812184355
kayode,4.812184355
meant,4.812184355
starts,4.812184355
stretched,4.812184355
hours,4.804021045
dollars,4.795790546
during,4.795790546
johnny,4.795790546
married,4.795790546
motor,4.795790546
pair,4.795790546
perhaps,4.795790546
puts,4.795790546
salad,4.795790546
sharp,4.795790546
william,4.795790546
dinosaurs,4.787491743
doggy,4.787491743
er,4.787491743
jerry,4.787491743
pan,4.787491743
pillow,4.787491743
rope,4.787491743
asking,4.779123493
bringing,4.779123493
bucket,4.779123493
f,4.779123493
girl's,4.779123493
kinda,4.779123493
lynette,4.779123493
oven,4.779123493
plastic,4.779123493
playdough,4.779123493
send,4.779123493
soap,4.779123493
accident,4.770684624
belongs,4.770684624
plant,4.770684624
question,4.770684624
stove,4.770684624
wagon,4.770684624
windows,4.770684624
broom,4.762173935
delicious,4.762173935
hanging,4.762173935
pipe,4.762173935
throwing,4.762173935
dollar,4.753590191
office,4.753590191
seems,4.753590191
slippers,4.753590191
alligator,4.744932128
cart,4.744932128
lap,4.744932128
life,4.744932128
pancakes,4.744932128
whoa,4.744932128
bench,4.736198448
birdie,4.736198448
closet,4.736198448
fruit,4.736198448
herself,4.736198448
pajamas,4.736198448
zebra,4.736198448
chickens,4.727387819
fair,4.727387819
fits,4.727387819
kit,4.727387819
pass,4.727387819
pushing,4.727387819
trucks,4.727387819
turkey,4.727387819
bam,4.718498871
bears,4.718498871
beginning,4.718498871
carrots,4.718498871
cousin,4.718498871
drawer,4.718498871
hook,4.718498871
j,4.718498871
lettuce,4.718498871
plane,4.718498871
track,4.718498871
dexter,4.709530201
keeps,4.709530201
leaves,4.709530201
certainly,4.700480366
eaten,4.700480366
indian,4.700480366
jane,4.700480366
rubber,4.700480366
toes,4.700480366
trina,4.700480366
adam's,4.691347882
bee,4.691347882
bright,4.691347882
lay,4.691347882
stories,4.691347882
u,4.691347882
bricks,4.682131227
donna,4.682131227
farmer,4.682131227
felt,4.682131227
gee,4.682131227
noisy,4.682131227
player,4.682131227
surprise,4.682131227
umm,4.682131227
anyone,4.672828834
bow,4.672828834
camera,4.672828834
dessert,4.672828834
none,4.672828834
sweeping,4.672828834
wolf,4.672828834
.,4.663439094
carriage,4.663439094
cooking,4.663439094
grape,4.663439094
handle,4.663439094
hill,4.663439094
jill,4.663439094
mail,4.663439094
often,4.663439094
peek,4.663439094
slow,4.663439094
spots,4.663439094
thumb,4.663439094
eve's,4.65396035
gail,4.65396035
guitar,4.65396035
harriet,4.65396035
recording,4.65396035
sent,4.65396035
somebody's,4.65396035
station,4.65396035
von,4.65396035
gillian,4.644390899
jelly,4.644390899
megan,4.644390899
piggy,4.644390899
smoke,4.644390899
tissue,4.644390899
turns,4.644390899
absolutely,4.634728988
cents,4.634728988
chance,4.634728988
kicking,4.634728988
magazine,4.634728988
starting,4.634728988
stupid,4.634728988
washed,4.634728988
cage,4.624972813
doors,4.624972813
fantastic,4.624972813
horn,4.624972813
jumped,4.624972813
pennies,4.624972813
pin,4.624972813
snap,4.624972813
cutting,4.615120517
fox,4.615120517
fresh,4.615120517
kill,4.615120517
moment,4.615120517
nest,4.615120517
toe,4.615120517
winter,4.615120517
angry,4.605170186
butterfly,4.605170186
daniel,4.605170186
decided,4.605170186
dog's,4.605170186
lived,4.605170186
pet,4.605170186
picking,4.605170186
plenty,4.605170186
pumpkin,4.605170186
seeds,4.605170186
sticks,4.605170186
sticky,4.605170186
bell,4.59511985
bless,4.59511985
brian,4.59511985
city,4.59511985
month,4.59511985
opened,4.59511985
punch,4.59511985
salt,4.59511985
sits,4.59511985
stayed,4.59511985
weather,4.59511985
castle,4.584967479
interested,4.584967479
land,4.584967479
leaving,4.584967479
library,4.584967479
maggie,4.584967479
picnic,4.584967479
puppets,4.584967479
smaller,4.584967479
squeeze,4.584967479
tear,4.584967479
trousers,4.584967479
windmill,4.584967479
yard,4.584967479
dangerous,4.574710979
fishing,4.574710979
